name,values
Dacia Sandero 3,"{'Reliability Score (/100)': 82.0, 'Luxury/Comfort Score (/10)': 5.8, 'Boot Volume (L)': 328.0, 'Safety Rating (Euro NCAP stars)': 2.0, 'Warranty Length (years)': 3.0, 'Affordability Score (/100)': 95.0, 'Power (hp)': 100.0, 'Torque (Nm)': 170.0, '0-100 km/h (s)': 11.6, 'Top Speed (km/h)': 183.0, 'Sportiness Score (/10)': 5.3}"
Citroen C3 IV,"{'Reliability Score (/100)': 72.0, 'Luxury/Comfort Score (/10)': 6.6, 'Boot Volume (L)': 310.0, 'Safety Rating (Euro NCAP stars)': 4.0, 'Warranty Length (years)': 2.0, 'Affordability Score (/100)': 88.0, 'Power (hp)': 100.0, 'Torque (Nm)': 205.0, '0-100 km/h (s)': 10.6, 'Top Speed (km/h)': 183.0, 'Sportiness Score (/10)': 5.8}"
Toyota Yaris,"{'Reliability Score (/100)': 92.0, 'Luxury/Comfort Score (/10)': 6.8, 'Boot Volume (L)': 286.0, 'Safety Rating (Euro NCAP stars)': 5.0, 'Warranty Length (years)': 3.0, 'Affordability Score (/100)': 75.0, 'Power (hp)': 116.0, 'Torque (Nm)': 141.0, '0-100 km/h (s)': 9.7, 'Top Speed (km/h)': 175.0, 'Sportiness Score (/10)': 6.5}"
Toyota Yaris Cross,"{'Reliability Score (/100)': 92.0, 'Luxury/Comfort Score (/10)': 7.0, 'Boot Volume (L)': 397.0, 'Safety Rating (Euro NCAP stars)': 5.0, 'Warranty Length (years)': 3.0, 'Affordability Score (/100)': 65.0, 'Power (hp)': 116.0, 'Torque (Nm)': 141.0, '0-100 km/h (s)': 10.7, 'Top Speed (km/h)': 170.0, 'Sportiness Score (/10)': 5.8}"
Tesla Model Y,"{'Reliability Score (/100)': 70.0, 'Luxury/Comfort Score (/10)': 8.0, 'Boot Volume (L)': 854.0, 'Safety Rating (Euro NCAP stars)': 5.0, 'Warranty Length (years)': 4.0, 'Affordability Score (/100)': 42.0, 'Power (hp)': 299.0, 'Torque (Nm)': 420.0, '0-100 km/h (s)': 5.9, 'Top Speed (km/h)': 217.0, 'Sportiness Score (/10)': 8.8}"
