name,Reliability Score (/100),Luxury/Comfort Score (/10),Boot Volume (L),Safety Rating (Euro NCAP stars),Warranty Length (years),Affordability Score (/100),Power (hp),Torque (Nm),0-100 km/h (s),Top Speed (km/h),Sportiness Score (/10)
Dacia Sandero 3,89.13043478260869,72.5,38.40749414519906,40.0,75.0,100.0,33.44481605351171,40.476190476190474,0.0,84.33179723502305,60.22727272727272
Citroen C3 IV,78.26086956521739,82.5,36.29976580796253,80.0,50.0,92.63157894736842,33.44481605351171,48.80952380952381,8.62068965517241,84.33179723502305,65.9090909090909
Toyota Yaris,100.0,85.0,33.48946135831382,100.0,75.0,78.94736842105263,38.79598662207358,33.57142857142857,16.37931034482759,80.64516129032258,73.86363636363636
Toyota Yaris Cross,100.0,87.5,46.487119437939114,100.0,75.0,68.42105263157895,38.79598662207358,33.57142857142857,7.758620689655171,78.3410138248848,65.9090909090909
Tesla Model Y,76.08695652173914,100.0,100.0,100.0,100.0,44.21052631578947,100.0,100.0,49.137931034482754,100.0,100.0
