name,Reliability Score (/100),Luxury/Comfort Score (/10),Boot Volume (L),Safety Rating (Euro NCAP stars),Warranty Length (years),Affordability Score (/100),Power (hp),Torque (Nm),0-100 km/h (s),Top Speed (km/h),Sportiness Score (/10)
Dacia Sandero 3,20.098039215686274,16.95906432748538,15.080459770114944,9.523809523809524,20.0,26.027397260273972,13.679890560875513,15.784586815227483,76.08247422680412,19.719827586206897,16.459627329192543
Citroen C3 IV,17.647058823529413,19.298245614035086,14.25287356321839,19.047619047619047,13.333333333333334,24.10958904109589,13.679890560875513,19.03435468895079,78.14432989690722,19.719827586206897,18.012422360248443
Toyota Yaris,22.54901960784314,19.883040935672515,13.149425287356323,23.809523809523807,20.0,20.54794520547945,15.868673050615595,13.09192200557103,80.0,18.857758620689655,20.18633540372671
Toyota Yaris Cross,22.54901960784314,20.46783625730994,18.25287356321839,23.809523809523807,20.0,17.80821917808219,15.868673050615595,13.09192200557103,77.93814432989691,18.318965517241377,18.012422360248443
Tesla Model Y,17.15686274509804,23.391812865497073,39.264367816091955,23.809523809523807,26.666666666666668,11.506849315068493,40.902872777017784,38.99721448467967,87.83505154639175,23.38362068965517,27.32919254658385
