name,Reliability Score (/100),Luxury/Comfort Score (/10),Boot Volume (L),Safety Rating (Euro NCAP stars),Warranty Length (years),Affordability Score (/100),Power (hp),Torque (Nm),0-100 km/h (s),Top Speed (km/h),Sportiness Score (/10)
Dacia Sandero 3,44.644406965204944,37.719638183842825,30.292492759056643,20.519567041703084,43.75949744936837,56.38900828248594,27.085157293251953,31.72796062284729,47.613110374388135,43.92241755639528,36.14065746127856
Citroen C3 IV,39.199967091399465,42.92234689885562,28.630099863742565,41.03913408340617,29.17299829957891,52.234028724829074,27.085157293251953,38.26018780990409,52.12922154900984,43.92241755639528,39.55015344819163
Toyota Yaris,50.08884683901043,44.22302407760883,26.413576003323787,51.29891760425771,43.75949744936837,44.51763811775206,31.418782460172267,26.31554381071452,56.19372160616939,42.00231187086981,44.323447829869934
Toyota Yaris Cross,50.08884683901043,45.52370125636203,36.66499885776064,51.29891760425771,43.75949744936837,38.58195303538511,31.418782460172267,26.31554381071452,51.67761043154767,40.802245817416384,39.55015344819163
Tesla Model Y,38.11107911663837,52.02708715012804,78.87130736656822,51.29891760425771,58.34599659915782,24.92987734594115,80.98462030682335,78.38672624468155,73.35494406973189,52.08286671987856,60.00712936967007
