name,values
Canada,"{'Minimum Wage (€/hour)': 15.75, 'Debt (% of GDP)': 66.3, 'Inflation Rate (%)': 3.4, 'GDP per Capita (€)': 53371.0, 'Government Deficit/Surplus (% of GDP)': 3.9, 'Electricity Prices (€/MWh)': 120.0, 'Tax Burden (% of GDP)': 33.0, 'Homicide Rate (per 100,000 inhabitants)': 1.8, 'Education Level (% with upper secondary education)': 91.0, 'Citizen Satisfaction': 3.0, 'Life Expectancy (years)': 82.0, 'Religion': 'Christianity (Roman Catholicism and Protestantism)', 'Language': 'English and French', 'Dominant Hair Color': 25.0, 'Corruption Perception Index': 6.0, 'Number of Holidays': 10.0}"
Norway,"{'Minimum Wage (€/hour)': 15.0, 'Debt (% of GDP)': 40.0, 'Inflation Rate (%)': 5.8, 'GDP per Capita (€)': 72150.0, 'Government Deficit/Surplus (% of GDP)': 3.9, 'Electricity Prices (€/MWh)': 121.1, 'Tax Burden (% of GDP)': 38.0, 'Homicide Rate (per 100,000 inhabitants)': 0.5, 'Education Level (% with upper secondary education)': 82.0, 'Citizen Satisfaction': 4.0, 'Life Expectancy (years)': 83.0, 'Religion': 'Christianity (Evangelical Lutheran)', 'Language': 'Norwegian', 'Dominant Hair Color': 100.0, 'Corruption Perception Index': 100.0, 'Number of Holidays': 12.0}"
Luxembourg,"{'Minimum Wage (€/hour)': 18.28, 'Debt (% of GDP)': 25.5, 'Inflation Rate (%)': 2.9, 'GDP per Capita (€)': 83320.0, 'Government Deficit/Surplus (% of GDP)': 0.7, 'Electricity Prices (€/MWh)': 190.9, 'Tax Burden (% of GDP)': 39.0, 'Homicide Rate (per 100,000 inhabitants)': 0.3, 'Education Level (% with upper secondary education)': 82.0, 'Citizen Satisfaction': 4.0, 'Life Expectancy (years)': 82.0, 'Religion': 'Christianity (Roman Catholicism)', 'Language': 'Luxembourgish, French, German', 'Dominant Hair Color': 0.0, 'Corruption Perception Index': 6.0, 'Number of Holidays': 10.0}"
Switzerland,"{'Minimum Wage (€/hour)': 26.05, 'Debt (% of GDP)': 42.0, 'Inflation Rate (%)': 2.3, 'GDP per Capita (€)': 63870.0, 'Government Deficit/Surplus (% of GDP)': 1.0, 'Electricity Prices (€/MWh)': 150.0, 'Tax Burden (% of GDP)': 28.5, 'Homicide Rate (per 100,000 inhabitants)': 0.5, 'Education Level (% with upper secondary education)': 86.0, 'Citizen Satisfaction': 4.0, 'Life Expectancy (years)': 83.0, 'Religion': 'Christianity (Roman Catholicism and Protestantism)', 'Language': 'German, French, Italian, Romansh', 'Dominant Hair Color': 25.0, 'Corruption Perception Index': 100.0, 'Number of Holidays': 7.0}"
Sweden,"{'Minimum Wage (€/hour)': 16.38, 'Debt (% of GDP)': 31.5, 'Inflation Rate (%)': 5.9, 'GDP per Capita (€)': 44620.0, 'Government Deficit/Surplus (% of GDP)': 0.6, 'Electricity Prices (€/MWh)': 187.0, 'Tax Burden (% of GDP)': 44.0, 'Homicide Rate (per 100,000 inhabitants)': 1.1, 'Education Level (% with upper secondary education)': 87.0, 'Citizen Satisfaction': 4.0, 'Life Expectancy (years)': 82.0, 'Religion': 'Christianity (Lutheran)', 'Language': 'Swedish', 'Dominant Hair Color': 100.0, 'Corruption Perception Index': 100.0, 'Number of Holidays': 13.0}"
Ireland,"{'Minimum Wage (€/hour)': 13.5, 'Debt (% of GDP)': 49.3, 'Inflation Rate (%)': 5.2, 'GDP per Capita (€)': 71700.0, 'Government Deficit/Surplus (% of GDP)': 1.5, 'Electricity Prices (€/MWh)': 374.6, 'Tax Burden (% of GDP)': 23.0, 'Homicide Rate (per 100,000 inhabitants)': 0.9, 'Education Level (% with upper secondary education)': 82.0, 'Citizen Satisfaction': 3.0, 'Life Expectancy (years)': 82.0, 'Religion': 'Christianity (Roman Catholicism)', 'Language': 'Irish and English', 'Dominant Hair Color': 25.0, 'Corruption Perception Index': 6.0, 'Number of Holidays': 9.0}"
